"confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub","n_targeted_ISO_lb","n_targeted_ISO_median","n_targeted_ISO_ub"
"district-estimate","admin1",1e-04,254,278,313,93,104,114,22,24,26
"district-estimate","admin1",2e-04,139,159,180,53,61,69,17,19,21
"district-estimate","admin1",0.001,13,22,35,5,9,15,4,6,8
"district-estimate","admin2",1e-04,1050,1106,1165,375,402,425,28,29,31
"district-estimate","admin2",2e-04,641,688,747,237,254,272,25,27,29
"district-estimate","admin2",0.001,117,144,189,45,56,74,14,17,20
"global-estimate","admin1",1e-04,268,290,325,100,108,121,23,24,26
"global-estimate","admin1",2e-04,142,165,185,53,62,70,16,19,21
"global-estimate","admin1",0.001,16,22,37,6,8,15,4,6,8
"global-estimate","admin2",1e-04,1118,1200,1284,400,431,456,28,29,30
"global-estimate","admin2",2e-04,690,750,825,252,276,301,24,27,29
"global-estimate","admin2",0.001,127,156,207,48,60,79,14,16,19
"no-estimate","admin1",1e-04,436,451,475,155,161,168,27,28,29
"no-estimate","admin1",2e-04,281,293,328,102,109,123,23,24,25
"no-estimate","admin1",0.001,57,66,79,24,27,30,11,13,14
"no-estimate","admin2",1e-04,1672,1770,1835,586,621,647,30,31,32
"no-estimate","admin2",2e-04,1174,1229,1274,417,439,459,29,30,31
"no-estimate","admin2",0.001,302,334,391,116,126,145,19,22,24
