"threshold","confirmation_lens","admin_level","ocv_cost_lb","ocv_cost_median","ocv_cost_ub"
1e-04,"district-estimate","admin1",1609077152.17125,1740788173.65153,1931516964.29824
1e-04,"district-estimate","admin2",1232252229.8137,1296314439.89836,1349089457.88497
1e-04,"global-estimate","admin1",1365849713.30429,1473456124.60213,1583377202.19137
1e-04,"global-estimate","admin2",1058792221.29201,1133945249.0071,1203088189.41645
1e-04,"no-estimate","admin1",2680919411.50106,2909796896.66275,3070807629.76649
1e-04,"no-estimate","admin2",1788027782.64532,1849210235.55918,1945472388.21962
2e-04,"district-estimate","admin1",828764001.088989,938340939.225446,1054959882.83099
2e-04,"district-estimate","admin2",726247917.110238,779845720.976607,846731635.456158
2e-04,"global-estimate","admin1",589042751.783154,698098886.89231,805964006.946255
2e-04,"global-estimate","admin2",506630456.4183,577734697.42832,671146867.208156
2e-04,"no-estimate","admin1",1611510665.45273,1702413334.56769,1852453553.24524
2e-04,"no-estimate","admin2",1248567463.1677,1299020663.17536,1339997418.14729
0.001,"district-estimate","admin1",39792586.1755086,70521623.4087827,136019934.03925
0.001,"district-estimate","admin2",115322696.791498,142136013.078304,178955767.86832
0.001,"global-estimate","admin1",32593672.2693957,45962953.6801213,74204554.0171783
0.001,"global-estimate","admin2",90929216.6886392,107466361.926275,139377157.010618
0.001,"no-estimate","admin1",246613945.839456,305633929.0058,351028355.744496
0.001,"no-estimate","admin2",282140936.198776,307914268.979655,335352857.786287
