"confirmation_lens","admin_level","threshold","costeff_ocv_test_lb","costeff_ocv_test_median","costeff_ocv_test_ub"
"district-estimate","admin1",1e-04,2566.57246311916,2809.28816853424,3119.85913053857
"district-estimate","admin1",2e-04,1719.00440041222,1904.05682973422,2148.7095105587
"district-estimate","admin1",0.001,433.189887701428,664.845258979764,910.615802772126
"district-estimate","admin2",1e-04,1652.58273509108,1828.89748640727,2017.3989003282
"district-estimate","admin2",2e-04,1141.99442883459,1272.11900468337,1413.40288790103
"district-estimate","admin2",0.001,404.712438548836,468.306662801788,542.801106085341
"global-estimate","admin1",1e-04,2311.51878230971,2512.10952827388,2754.96822622081
"global-estimate","admin1",2e-04,1096.82063527405,1411.51218771809,1988.37504126068
"global-estimate","admin1",0.001,393.960450515462,612.686881839981,868.155095971553
"global-estimate","admin2",1e-04,1532.98677985874,1673.19623740049,1807.25814467014
"global-estimate","admin2",2e-04,709.761022866369,908.162537279475,1180.4966091885
"global-estimate","admin2",0.001,362.611751647473,429.428177644727,501.154815160642
"no-estimate","admin1",1e-04,3694.13430432674,4011.77686960049,4379.70094959522
"no-estimate","admin1",2e-04,2494.89669460428,2759.15728121474,3061.5438928069
"no-estimate","admin1",0.001,928.545605096769,1128.16118940837,1360.93331895284
"no-estimate","admin2",1e-04,2152.91469106927,2451.66268984213,2707.11901648203
"no-estimate","admin2",2e-04,1657.84315313243,1841.05806858067,2041.64010645029
"no-estimate","admin2",0.001,603.145212576408,684.82522063995,780.338175650044
